trial,x,y,yaw_deg,open_success,closed_success,recoveries,failure_type
103,0.516,-0.011,2.5,True,False,3,POSITIONAL_OFFSET
104,0.541,-0.092,-19.9,False,False,3,POSITIONAL_OFFSET
105,0.507,0.105,-25.2,False,False,3,NO_OBJECT
106,0.595,0.01,-17.4,False,True,0,-
107,0.436,-0.194,2.7,False,True,0,-
108,0.539,-0.149,29.5,False,True,0,-
109,0.494,-0.024,-25.3,False,False,3,ORIENTATION
110,0.564,-0.04,-34.1,False,False,3,POSITIONAL_OFFSET
111,0.513,-0.078,39.5,False,False,3,ORIENTATION
112,0.558,-0.11,1.8,False,False,2,NO_OBJECT
113,0.598,-0.078,9.7,False,False,3,POSITIONAL_OFFSET
114,0.442,-0.116,12.8,False,False,3,ORIENTATION
115,0.401,-0.02,7.5,False,True,0,-
116,0.541,-0.018,15.0,False,False,3,POSITIONAL_OFFSET
117,0.532,0.173,-6.0,False,False,2,NO_OBJECT
118,0.565,-0.171,-26.7,False,True,0,-
119,0.458,-0.15,15.1,False,False,3,NO_OBJECT
120,0.499,-0.168,-36.8,False,False,1,NO_OBJECT
